object,relation,page
Air_Potion_+.html,LOCATION,Luv_and_Bertie%27s_Potion_Shop.html
Aji.html,HOMELAND,Hyrule.html
Aji.html,HOMETOWN,Goron_City.html
Akh_Va'quot.html,HOMELAND,Hyrule.html
Akh_Va'quot.html,HOMETOWN,Akh_Va%27quot_Shrine.html
Akh_Va'quot_Shrine.html,LOCATION,Rito_Village.html
Akkala.html,COUNTRY,Hyrule.html
Akkala_Ancient_Tech_Lab.html,COUNTRY,Hyrule.html
Akkala_Ancient_Tech_Lab.html,REGION,Deep_Akkala.html
Akkala_Bridge_Ruins.html,COUNTRY,Hyrule.html
Akkala_Bridge_Ruins.html,REGION,Akkala_Highlands.html
Akkala_Citadel.html,COUNTRY,Hyrule.html
Akkala_Citadel.html,REGION,Akkala_Highlands.html
Akkala_Citadel_Ruins.html,COUNTRY,Hyrule.html
Akkala_Citadel_Ruins.html,REGION,Akkala_Highlands.html
Akkala_Falls.html,COUNTRY,Hyrule.html
Akkala_Falls.html,REGION,Akkala_Highlands.html
Akkala_Highlands.html,COUNTRY,Hyrule.html
Akkala_Highlands.html,REGION,Akkala.html
Akkala_Parade_Ground_Ruins.html,COUNTRY,Hyrule.html
Akkala_Parade_Ground_Ruins.html,REGION,Akkala_Highlands.html
Akkala_Sea.html,COUNTRY,Hyrule.html
Akkala_Sea.html,REGION,Akkala.html
Akkala_Span.html,COUNTRY,Hyrule.html
Akkala_Span.html,REGION,Akkala_Highlands.html
Akkala_Tower.html,COUNTRY,Hyrule.html
Akkala_Tower.html,REGION,Akkala_Highlands.html
Akkala_Wilds.html,COUNTRY,Hyrule.html
Akkala_Wilds.html,REGION,Deep_Akkala.html
Akrah.html,HOMELAND,Hyrule.html
Aldo.html,HOMELAND,Great_Sea.html
Aldo.html,HOMETOWN,Forest_Haven.html
Aldor_Foothills.html,COUNTRY,Hyrule.html
Aldor_Foothills.html,REGION,Great_Hyrule_Forest.html
Alfonzo.html,HOMELAND,New_Hyrule.html
Alfonzo.html,HOMETOWN,Aboda_Village.html
Aliza.html,HOMELAND,Hyrule.html
Aliza.html,HOMETOWN,Outskirt_Stable.html
All_or_Nothing.html,LOCATION,Lurelin_Village.html
Altar_of_Lord_Jabu-Jabu.html,COUNTRY,Hyrule.html
Altar_of_Lord_Jabu-Jabu.html,REGION,Zora%27s_Fountain.html
Altar_of_the_Demon_King.html,COUNTRY,New_Hyrule.html
Altar_of_the_Demon_King.html,REGION,Tower_of_Spirits.html
Altar_of_the_Mountain_Goddess.html,COUNTRY,New_Hyrule.html
Altar_of_the_Mountain_Goddess.html,REGION,Fire_Realm.html
Amali.html,HOMELAND,Hyrule.html
Amali.html,HOMETOWN,Rito_Village.html
Amber_Earrings.html,LOCATION,Starlight_Memories.html
Ambi's_Palace.html,COUNTRY,Labrynna.html
Ambi's_Palace.html,LOCATION,Lynna_Village.html
Ambi's_Tower.html,LOCATION,Lynna_City.html
Ambi's_Tower.html,LOCATION,Lynna_Village.html
Ami.html,HOMELAND,Hyrule.html
Ami.html,HOMETOWN,Wetland_Stable.html
Amira.html,HOMELAND,Hyrule.html
Amira.html,HOMETOWN,Hateno_Village.html
Ampilus.html,LOCATION,Lanayru_Desert.html
Amusements_of_Nobility.html,LOCATION,Private_Oasis.html
Amy.html,HOMELAND,Hyrule.html
Amy.html,HOMELAND,Termina.html
Amy.html,HOMETOWN,Forest_Temple_(Ocarina_of_Time).html
Amy.html,HOMETOWN,Ikana.html
Anche.html,HOMELAND,Hyrule.html
Anche.html,HOMETOWN,Gerudo_Town.html
Ancient_Barbarian_Tribe.html,HOMELAND,Hyrule.html
Ancient_Barbarian_Tribe.html,HOMETOWN,Faron_(Breath_of_the_Wild).html
Ancient_Battle.html,LOCATION,Hyrule.html
Ancient_Castle_of_Ikana.html,LOCATION,Ikana_Canyon.html
Ancient_Castle_of_Ikana.html,LOCATION,Ikana_Canyon.html
Ancient_Cistern.html,LOCATION,Lake_Floria.html
Ancient_Cistern.html,LOCATION,Lake_Floria.html
Ancient_Columns.html,COUNTRY,Hyrule.html
Ancient_Columns.html,REGION,Tabantha_Frontier.html
Ancient_Harbor.html,COUNTRY,Hyrule.html
Ancient_Harbor.html,REGION,Lanayru_Desert.html
Ancient_Robot.html,HOMELAND,Lanayru_Desert.html
Ancient_Robots.html,HOMELAND,Lanayru_Desert.html
Ancient_Ruins.html,LOCATION,Tarm_Ruins.html
Ancient_Ruins_(Link's_Awakening).html,COUNTRY,Koholint_Island.html
Ancient_Ruins_(Link's_Awakening).html,REGION,Face_Shrine_(region).html
Ancient_Ruins_(Oracle_of_Seasons).html,LOCATION,Tarm_Ruins.html
Ancient_Sky_Book.html,LOCATION,Hidden_Village.html
Ancient_Tomb.html,LOCATION,Sea_of_No_Return.html
Ancient_Tomb.html,LOCATION,Sea_of_No_Return.html
Ancient_Tree_Stump.html,COUNTRY,Hyrule.html
Ancient_Tree_Stump.html,REGION,Central_Hyrule.html
Angel_Peak.html,COUNTRY,Hyrule.html
Angler's_Tunnel.html,LOCATION,Tal_Tal_Heights.html
Angler's_Tunnel.html,LOCATION,Tal_Tal_Heights.html
Angler_Fish_(Link's_Awakening).html,LOCATION,Angler%27s_Tunnel.html
Angler_Fish_(Oracle_of_Ages).html,LOCATION,Jabu-Jabu%27s_Belly.html
Angular_Isles.html,COUNTRY,Great_Sea.html
Animal_Village.html,COUNTRY,Koholint_Island.html
Anjean.html,HOMELAND,New_Hyrule.html
Anju's_Grandmother.html,HOMELAND,Termina.html
Anju's_Grandmother.html,HOMETOWN,Clock_Town.html
Anju's_Henhouse.html,COUNTRY,Hyrule.html
Anju's_Henhouse.html,REGION,Hyrule_Town.html
Anju's_Mother.html,HOMELAND,Termina.html
Anju's_Mother.html,HOMETOWN,Clock_Town.html
Anju.html,HOMELAND,Hyrule.html
Anju.html,HOMELAND,Hyrule.html
Anju.html,HOMELAND,Termina.html
Anju.html,HOMETOWN,Clock_Town.html
Anju.html,HOMETOWN,Hyrule_Town.html
Anju.html,HOMETOWN,Kakariko_Village.html
Anju_and_Kafei's_Wedding.html,LOCATION,Termina_Field.html
Ankel_Island.html,COUNTRY,Hyrule.html
Ankel_Island.html,REGION,Akkala_Sea.html
Ankle.html,HOMELAND,Hyrule.html
Anly.html,HOMELAND,Hyrule.html
Anly.html,HOMETOWN,Lakeside_Stable.html
Anouki.html,HOMELAND,New_Hyrule.html
Anouki.html,HOMELAND,World_of_the_Ocean_King.html
Anouki_Estates.html,COUNTRY,World_of_the_Ocean_King.html
Anouki_Estates.html,REGION,Isle_of_Frost.html
Anouki_General_Store.html,LOCATION,Snow_Sanctuary.html
Anouki_Village.html,COUNTRY,New_Hyrule.html
Anouki_Village.html,REGION,Snow_Realm.html
Anouki_Village_Goron.html,HOMELAND,New_Hyrule.html
Anouki_Village_Goron.html,HOMETOWN,Anouki_Village.html
Anouki_Village_Goron.html,HOMETOWN,Goron_Village.html
Anti-Kirby.html,LOCATION,Eagle%27s_Tower.html
Anton_(The_Minish_Cap).html,HOMELAND,Hyrule.html
Anton_(The_Minish_Cap).html,HOMETOWN,Hyrule_Town.html
Anton_(The_Wind_Waker).html,HOMELAND,Great_Sea.html
Anton_(The_Wind_Waker).html,HOMETOWN,Windfall_Island.html
Anubis.html,LOCATION,Spirit_Temple.html
Apple.html,LOCATION,Hyrule_Field.html
Applean_Forest.html,COUNTRY,Hyrule.html
Aquame_Bridge.html,COUNTRY,Hyrule.html
Aquame_Lake.html,COUNTRY,Hyrule.html
Aquamentus_(Oracle_of_Seasons).html,LOCATION,Gnarled_Root_Dungeon.html
Aquamentus_(The_Legend_of_Zelda).html,LOCATION,Dungeon.html
Aracha.html,LOCATION,Ancient_Harbor.html
Aracha.html,LOCATION,Lanayru_Desert.html
Aracha.html,LOCATION,Lanayru_Mining_Facility.html
Aracha.html,LOCATION,Sandship.html
Arbiter's_Grounds_(Breath_of_the_Wild).html,COUNTRY,Hyrule.html
Arbiter's_Grounds_(Breath_of_the_Wild).html,REGION,Gerudo_Desert.html
Arbiter's_Grounds_(Twilight_Princess).html,LOCATION,Gerudo_Desert.html
Arbiter's_Grounds_(Twilight_Princess).html,LOCATION,Gerudo_Desert.html
Arbiter's_Grounds__Ranger.html,COUNTRY,Hyrule.html
Arbiter's_Grounds__Ranger.html,REGION,Bulblin_Camp.html
Ardin.html,HOMELAND,Hyrule.html
Ardin.html,HOMETOWN,Gerudo_Town.html
Argorok.html,LOCATION,Adventure_Mode.html
Argorok.html,LOCATION,City_in_the_Sky.html
Argorok.html,LOCATION,Ganon%27s_Tower_(Hyrule_Warriors).html
Argorok.html,LOCATION,Palace_of_Twilight.html
Ariane.html,HOMELAND,Hyrule.html
Ariane.html,HOMETOWN,Tabantha_Bridge_Stable.html
Aris_Beach.html,COUNTRY,Hyrule.html
Armes.html,HOMELAND,Hyrule.html
Armes.html,HOMETOWN,Lurelin_Village.html
Armogohma.html,LOCATION,Temple_of_Time_(Twilight_Princess).html
Armored_Train.html,LOCATION,Dark_Realm.html
Armored_Train.html,LOCATION,Ocean_Realm.html
Armored_Train.html,LOCATION,Snow_Realm.html
Armorer.html,HOMELAND,First_Continent.html
Armorer.html,HOMETOWN,Port_Town.html
Armos.html,LOCATION,Cave_of_Ordeals.html
Armos.html,LOCATION,Death_Mountain.html
Armos.html,LOCATION,Dodongo%27s_Cavern.html
Armos.html,LOCATION,Eastern_Palace_(A_Link_to_the_Past).html
Armos.html,LOCATION,Face_Shrine_(region).html
Armos.html,LOCATION,Goron_Temple.html
Armos.html,LOCATION,Hidden_Hole.html
Armos.html,LOCATION,Lanayru_Mining_Facility.html
Armos.html,LOCATION,Lost_Woods.html
Armos.html,LOCATION,Pirate_Stronghold.html
Armos.html,LOCATION,Savage_Labyrinth.html
Armos.html,LOCATION,Spirit_Temple.html
Armos.html,LOCATION,Stone_Tower_Temple.html
Armos.html,LOCATION,Temple_of_Time_(Twilight_Princess).html
Armos.html,LOCATION,Tower_of_Spirits.html
Armos.html,LOCATION,Tower_of_the_Gods.html
Armos.html,LOCATION,Wind_Ruins.html
Armos.html,LOCATION,Wind_Temple.html
Armos_Knight.html,LOCATION,Ancient_Ruins_(Link%27s_Awakening).html
Armos_Knight.html,LOCATION,Eastern_Palace_(A_Link_to_the_Past).html
Armos_Knight.html,LOCATION,Hidden_Hole.html
Armos_Knight.html,LOCATION,Savage_Labyrinth.html
Armos_Knight.html,LOCATION,Tower_of_the_Gods.html
Armos_Knight.html,LOCATION,Wind_Temple.html
Armos_Knight_(Link's_Awakening).html,LOCATION,Ancient_Ruins_(Link%27s_Awakening).html
Armos_Knights.html,LOCATION,Eastern_Palace_(A_Link_to_the_Past).html
Armos_Knights.html,LOCATION,Ganon%27s_Tower_(A_Link_to_the_Past).html
Armos_Warrior.html,LOCATION,Skull_Dungeon.html
Arn.html,HOMELAND,Calatia.html
Aroo.html,HOMELAND,World_of_the_Ocean_King.html
Aroo.html,HOMETOWN,Isle_of_Frost.html
Arrghus_(A_Link_Between_Worlds).html,LOCATION,Lorule_Castle.html
Arrghus_(A_Link_Between_Worlds).html,LOCATION,Swamp_Palace_(A_Link_Between_Worlds).html
Arrghus_(A_Link_to_the_Past).html,LOCATION,Palace_of_the_Four_Sword.html
Arrghus_(A_Link_to_the_Past).html,LOCATION,Swamp_Palace_(A_Link_to_the_Past).html
Arrghus_(Tri_Force_Heroes).html,LOCATION,Riverside.html
Arrghus_(Tri_Force_Heroes).html,LOCATION,Water_Temple_(Tri_Force_Heroes).html
Arrow.html,LOCATION,Shop.html
Arrow_Specialty_Shop.html,LOCATION,Gerudo_Town.html
Arrows.html,LOCATION,Shop.html
Arwing.html,LOCATION,Kokiri_Forest.html
Aryll's_Lookout.html,COUNTRY,Great_Sea.html
Aryll's_Lookout.html,REGION,Outset_Island.html
Aryll.html,HOMELAND,Great_Sea.html
Aryll.html,HOMETOWN,Outset_Island.html
Ash_Swamp.html,COUNTRY,Hyrule.html
Ash_Swamp.html,REGION,West_Necluda.html
Ashai.html,HOMELAND,Hyrule.html
Ashai.html,HOMETOWN,Gerudo_Town.html
Ashe.html,HOMELAND,Hyrule.html
Ashe.html,HOMETOWN,Woodland_Stable.html
Ashei's_Father.html,HOMELAND,Hyrule.html
Ashei.html,HOMELAND,Hyrule.html
Aster.html,HOMELAND,Hyrule.html
Aster.html,HOMETOWN,Hateno_Village.html
Astral_Observatory.html,REGION,Termina.html
Astrid.html,HOMELAND,World_of_the_Ocean_King.html
Astrid.html,HOMETOWN,Isle_of_Ember.html
Atun_Valley.html,COUNTRY,Hyrule.html
Auction.html,LOCATION,House_of_Wealth.html
Aurie_Taamu.html,HOMELAND,Hyrule.html
Auros_Ruins.html,COUNTRY,Third_Continent.html
Auru.html,HOMELAND,Hyrule.html
Autumn.html,COUNTRY,Holodrum.html
Autumn.html,COUNTRY,Hyrule.html
Autumn.html,REGION,Fishing_Hole.html
Aveil.html,HOMELAND,Hyrule.html
Aveil.html,HOMELAND,Termina.html
Aveil.html,HOMETOWN,Gerudo%27s_Fortress.html
Aveil.html,HOMETOWN,Pirates%27_Fortress.html
Axyl.html,HOMELAND,Hyrule.html
Axyl.html,HOMETOWN,Southern_Mine.html
Aya.html,HOMELAND,Hyrule.html
Aya.html,HOMETOWN,East_Akkala_Stable.html
Azu.html,HOMELAND,Hyrule.html
Azu.html,HOMETOWN,Hateno_Village.html
Baba_Serpent.html,LOCATION,Cave_of_Ordeals.html
Baba_Serpent.html,LOCATION,City_in_the_Sky.html
Baba_Serpent.html,LOCATION,Faron_Woods.html
Baba_Serpent.html,LOCATION,Forest_Temple_(Twilight_Princess).html
Baba_Serpent.html,LOCATION,Hyrule_Field.html
Babi.html,HOMELAND,Hyrule.html
Babi.html,HOMETOWN,Gerudo_Town.html
Babusu.html,LOCATION,Ice_Palace.html
Baby_Dodongo.html,LOCATION,Dodongo%27s_Cavern.html
Baby_Gohma.html,LOCATION,Temple_of_Time_(Twilight_Princess).html
Baby_Turtles.html,HOMELAND,Lorule.html
Back_Alley.html,COUNTRY,Hyrule.html
Back_Alley.html,REGION,Hyrule_Castle_Town.html
Backroom.html,COUNTRY,Termina.html
Backroom.html,REGION,Laundry_Pool.html
Bad_Bat.html,LOCATION,Beneath_the_Graveyard.html
Bad_Bat.html,LOCATION,Ikana_Graveyard.html
Bad_Bat.html,LOCATION,Southern_Swamp.html
Bad_Bat.html,LOCATION,Stone_Tower_Temple.html
Bad_Bat.html,LOCATION,Termina_Field.html
Bad_Uncle_Rupee's_Ashen_Rupeeland.html,COUNTRY,Rupeeland.html
Bag_Guy.html,HOMELAND,Lorule.html
Bag_Guy.html,HOMETOWN,Thieves%27_Town_(A_Link_Between_Worlds).html
Baga_Tree.html,HOMELAND,Hyrule.html
Baga_Tree.html,HOMETOWN,Lost_Woods.html
Bagu.html,HOMELAND,Hyrule.html
Bagu.html,HOMETOWN,Moruge_Forest.html
Bagu.html,HOMETOWN,N_of_River.html
Baito.html,HOMELAND,Great_Sea.html
Baito.html,HOMETOWN,Dragon_Roost_Island.html
Baked_Apple.html,LOCATION,Great_Plateau.html
Bakery_of_Wheaton_and_Pita.html,LOCATION,Hyrule_Town.html
Ball_&_Chain_Trooper.html,LOCATION,Dark_Hyrule_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Hyrule_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Hyrule_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Hyrule_Castle_Tower.html
Ball_&_Chain_Trooper.html,LOCATION,Inside_Hyrule_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Kanalet_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Lorule_Castle.html
Ball_&_Chain_Trooper.html,LOCATION,Palace_of_Winds_(The_Minish_Cap).html
Ball_&_Chain_Trooper.html,LOCATION,Realm_of_the_Heavens_(location).html
Ball_&_Chain_Trooper.html,LOCATION,Tower_of_Flames.html
Ball_and_Chain_Trooper.html,LOCATION,Dark_Hyrule_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Hyrule_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Hyrule_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Hyrule_Castle_Tower.html
Ball_and_Chain_Trooper.html,LOCATION,Inside_Hyrule_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Kanalet_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Lorule_Castle.html
Ball_and_Chain_Trooper.html,LOCATION,Palace_of_Winds_(The_Minish_Cap).html
Ball_and_Chain_Trooper.html,LOCATION,Realm_of_the_Heavens_(location).html
Ball_and_Chain_Trooper.html,LOCATION,Tower_of_Flames.html
Balloon_Popping_Game.html,LOCATION,Lake_Hylia.html
Bamboo.html,HOMELAND,Hyrule.html
Bamboo_Island.html,COUNTRY,The_Sky.html
Bana_Bana.html,LOCATION,Deku_Temple.html
Band_Rehearsal.html,LOCATION,Zora_Hall.html
Baneful_Zone.html,LOCATION,Drablands.html
Banji.html,HOMELAND,Hyrule.html
Banji.html,HOMETOWN,Tabantha_Bridge_Stable.html
Bank_of_Wishes.html,COUNTRY,Hyrule.html
Bank_of_Wishes.html,REGION,Lanayru_Wetlands.html
Banker.html,HOMELAND,Termina.html
Banker.html,HOMETOWN,South_Clock_Town.html
Banker.html,HOMETOWN,West_Clock_Town.html
Bannan_Island_(Breath_of_the_Wild).html,COUNTRY,Hyrule.html
Bannan_Island_(Phantom_Hourglass).html,REGION,World_of_the_Ocean_King.html
Barba.html,LOCATION,Hidden_Palace.html
Barbarian_Armor.html,LOCATION,South_Lomei_Labyrinth.html
Barbarian_Helm.html,LOCATION,Lomei_Labyrinth_Island.html
Barbarian_Leg_Wraps.html,LOCATION,North_Lomei_Labyrinth.html
Bard.html,HOMELAND,Hyrule.html
Bard.html,HOMETOWN,Kakariko_Village.html
Bareeda_Naag.html,HOMELAND,Hyrule.html
Bareeda_Naag.html,HOMETOWN,Bareeda_Naag_Shrine.html
Bareeda_Naag_Shrine.html,LOCATION,Tabantha_Frontier.html
Bargoh.html,HOMELAND,Hyrule.html
Bargoh.html,HOMETOWN,Goron_City.html
Bari.html,LOCATION,Dark_World_(A_Link_to_the_Past).html
Bari.html,LOCATION,Dungeon.html
Bari.html,LOCATION,Hidden_Hole.html
Bari.html,LOCATION,Inside_Jabu-Jabu%27s_Belly.html
Bari.html,LOCATION,Jabu-Jabu%27s_Belly.html
Bari.html,LOCATION,Lakebed_Temple.html
Barinade.html,LOCATION,Inside_Jabu-Jabu%27s_Belly.html
Baris.html,HOMELAND,Hyrule.html
Baris.html,HOMETOWN,Hyrule_Town.html
Barkle.html,HOMELAND,First_Continent.html
Barnes.html,HOMELAND,Hyrule.html
Barnes.html,HOMETOWN,Kakariko_Village.html
Baron.html,HOMELAND,Third_Continent.html
Baron.html,HOMETOWN,Mount_Desma.html
Barrel_House.html,COUNTRY,Hyrule.html
Barrel_House.html,REGION,Minish_Woods.html
Barrel_Shoot.html,LOCATION,Spectacle_Island.html
Barrel_Shoot.html,LOCATION,Spectacle_Isle.html
Barta.html,HOMELAND,Hyrule.html
Barula_Plain.html,COUNTRY,Hyrule.html
Barula_Plain.html,REGION,Faron_(Breath_of_the_Wild).html
Base_Creature_of_Magic.html,LOCATION,Desert_of_Doubt.html
Base_Creature_of_Magic.html,LOCATION,Frozen_Hyrule_(location).html
Base_Creature_of_Magic.html,LOCATION,Kakariko_Village.html
Base_Creature_of_Magic.html,LOCATION,The_Field.html
Base_Creature_of_Magic.html,LOCATION,Tower_of_Winds.html
Basht_and_Bisht.html,HOMELAND,Great_Sea.html
Basht_and_Bisht.html,HOMETOWN,Dragon_Roost_Island.html
Batrea_Lake.html,COUNTRY,Hyrule.html
Batrea_Lake.html,REGION,West_Necluda.html
Batreaux's_House.html,COUNTRY,The_Sky.html
Batreaux's_House.html,REGION,Skyloft.html
Batreaux.html,HOMELAND,The_Sky.html
Batreaux.html,HOMETOWN,Skyloft.html
Baumer.html,HOMELAND,Hyrule.html
Bawb.html,LOCATION,Dungeon.html
Bayge.html,HOMELAND,Hyrule.html
Bayge.html,HOMETOWN,Goron_City.html
Bazaar_(Ocarina_of_Time).html,LOCATION,Hyrule_Castle_Town.html
Bazaar_(Ocarina_of_Time).html,LOCATION,Kakariko_Village.html
Bazaar_(Skyward_Sword).html,COUNTRY,Skyloft.html
Bazaar_(Skyward_Sword).html,REGION,The_Sky.html
Bazz.html,HOMELAND,Hyrule.html
Bazz.html,HOMETOWN,Zora%27s_Domain.html
Beamos.html,LOCATION,Bottom_of_the_Well.html
Beamos.html,LOCATION,Desert_Palace_(A_Link_Between_Worlds).html
Beamos.html,LOCATION,Desert_Palace_(A_Link_to_the_Past).html
Beamos.html,LOCATION,Dodongo%27s_Cavern.html
Beamos.html,LOCATION,Ganon%27s_Castle.html
Beamos.html,LOCATION,Ganon%27s_Tower_(A_Link_to_the_Past).html
Beamos.html,LOCATION,Goron_Mines.html
Beamos.html,LOCATION,Lanayru_Mining_Facility.html
Beamos.html,LOCATION,Lantern_Cavern.html
Beamos.html,LOCATION,Sandship.html
Beamos.html,LOCATION,Shadow_Temple.html
Beamos.html,LOCATION,Temple_of_Time_(Twilight_Princess).html
Beamos.html,LOCATION,Tower_of_the_Gods.html
Bean_Seller.html,HOMELAND,Hyrule.html
Bean_Seller.html,HOMELAND,Termina.html
Bean_Seller.html,HOMETOWN,Inner_Palace_Garden.html
Bean_Seller.html,HOMETOWN,Zora%27s_River.html
Bear_(race).html,HOMELAND,Hyrule.html
Beaver_Falls_Race.html,LOCATION,Waterfall_Rapids.html
Beavers.html,HOMELAND,Termina.html
Beavers.html,HOMETOWN,Waterfall_Rapids.html
Bedoli.html,HOMELAND,Hyrule.html
Bedoli.html,HOMETOWN,Rito_Village.html
Bee_Guy.html,HOMELAND,Hyrule.html
Bee_Guy.html,HOMETOWN,Kakariko_Village.html
Beedle's_Air_Shop.html,LOCATION,New_Hyrule.html
Beedle's_Air_Shop.html,LOCATION,Skyloft.html
Beedle's_Island.html,COUNTRY,The_Sky.html
Beedle's_Shop_Ship.html,LOCATION,Great_Sea.html
Beedle's_Shop_Ship.html,LOCATION,World_of_the_Ocean_King.html
Beedle.html,HOMELAND,Great_Sea.html
Beedle.html,HOMELAND,Hyrule.html
Beedle.html,HOMELAND,Hyrule.html
Beedle.html,HOMELAND,New_Hyrule.html
Beedle.html,HOMELAND,The_Sky.html
Beedle.html,HOMELAND,World_of_the_Ocean_King.html
Beetle_(enemy).html,LOCATION,Fortress_of_Winds.html
Beetle_(enemy).html,LOCATION,Onox%27s_Castle.html
Beetle_(enemy).html,LOCATION,Snake%27s_Remains.html
Beetle_(enemy).html,LOCATION,Ukuku_Prairie.html
Beetle_King_Death_Bug.html,LOCATION,Insect_Cavern.html
Beetle_Lord_Death_Bug.html,LOCATION,Hero%27s_Shrine.html
Beggar.html,HOMELAND,Hyrule.html
Beggar.html,HOMETOWN,Hyrule_Castle_Town.html
Beggar.html,HOMETOWN,Kakariko_Village.html
Belari.html,HOMELAND,Hyrule.html
Belari.html,HOMETOWN,Minish_Village.html
Bella.html,HOMELAND,First_Continent.html
Bella.html,HOMETOWN,Port_Town.html
Bellum.html,HOMELAND,World_of_the_Ocean_King.html
Bellum_(boss).html,LOCATION,Temple_of_the_Ocean_King.html
Bellum_Blob.html,LOCATION,Temple_of_the_Ocean_King.html
Bellumbeck.html,LOCATION,Ghost_Ship_(boss).html
Beneath_the_Graveyard.html,COUNTRY,Termina.html
Beneath_the_Graveyard.html,REGION,Ikana_Graveyard.html
Beneath_the_Well.html,LOCATION,Ikana_Canyon.html
Beneath_the_Well.html,LOCATION,Ikana_Canyon.html
Benja.html,HOMELAND,Hyrule.html
Benja.html,HOMETOWN,Gerudo_Town.html
Benny.html,HOMELAND,Hyrule.html
Benny.html,HOMETOWN,Hyrule_Field.html
Berry.html,HOMELAND,Hyrule.html
Berry.html,HOMETOWN,Hyrule_Town.html
Bertie.html,HOMELAND,The_Sky.html
Bertie.html,HOMETOWN,Skyloft.html
Bertri.html,HOMELAND,Hyrule.html
Bertri.html,HOMETOWN,Gerudo_Town.html
Beth_(Ocarina_of_Time%2FMajora's_Mask).html,HOMELAND,Hyrule.html
Beth_(Ocarina_of_Time%2FMajora's_Mask).html,HOMELAND,Termina.html
Beth_(Ocarina_of_Time%2FMajora's_Mask).html,HOMETOWN,Forest_Temple_(Ocarina_of_Time).html
Beth_(Ocarina_of_Time%2FMajora's_Mask).html,HOMETOWN,Ikana.html
Beth_(Twilight_Princess).html,HOMELAND,Hyrule.html
Beth_(Twilight_Princess).html,HOMETOWN,Ordon_Village.html
Big_Bang.html,LOCATION,Rolling_Ridge.html
Big_Bang_Game.html,LOCATION,Rolling_Ridge.html
Big_Blin.html,LOCATION,Forsaken_Fortress_(Hyrule_Warriors).html
Big_Blin.html,LOCATION,Gerudo_Desert.html
Big_Blin.html,LOCATION,Pirate_Hideout.html
Big_Blin.html,LOCATION,Take_%27Em_All_On.html
Big_Blue_ChuChu.html,LOCATION,Temple_of_Droplets.html
Big_Bro.html,HOMELAND,First_Continent.html
Big_Bro.html,HOMETOWN,Port_Town.html
Big_Catch_Flag.html,LOCATION,Bomb_Island.html
Big_Catch_Flag.html,LOCATION,Greatfish_Isle.html
