,from,relationship,to
136,76,FIRST_APPEARANCE,7767
137,76,FIRST_APPEARANCE,29
138,76,FOUND,4223
139,76,FOUND,429
140,76,FOUND,3085
141,77,FIRST_APPEARANCE,7798
142,77,FIRST_APPEARANCE,24
143,77,APPEARANCES,7798
144,77,APPEARANCES,7795
145,77,LOCATION,1624
146,77,LOCATION,1523
147,77,LOCATION,3771
148,77,LOCATION,6978
149,77,WEAPON,7464
150,77,WEAPON,6382
151,77,EFFECTIVE_WEAPON,1632
152,77,EFFECTIVE_WEAPON,7464
153,77,EFFECTIVE_WEAPON,2859
154,78,FIRST_APPEARANCE,3801
155,78,FIRST_APPEARANCE,32
156,78,APPEARANCES,3801
157,78,APPEARANCES,3802
158,78,FOUND,77
159,78,USE,4946
160,79,FIRST_APPEARANCE,7701
161,79,FIRST_APPEARANCE,35
162,79,COUNTRY,3766
163,79,REGION,2275
164,80,FIRST_APPEARANCE,7694
165,80,FIRST_APPEARANCE,10
166,80,ALTERNATE_FORM_OF,2883
167,81,FIRST_APPEARANCE,7694
168,81,FIRST_APPEARANCE,10
169,81,LOCATION,3775
170,81,LOCATION,2880
171,81,EFFECTIVE_WEAPON,4939
172,81,EFFECTIVE_WEAPON,768
173,82,FIRST_APPEARANCE,7753
174,82,FIRST_APPEARANCE,19
175,82,LOCATION,1836
176,83,FIRST_APPEARANCE,7701
177,83,FIRST_APPEARANCE,35
178,83,COUNTRY,3766
179,83,REGION,3766
180,83,OCCURRENCE,3300
181,83,PURPOSE,3300
182,83,CHARACTERISTICS,3507
183,85,FIRST_APPEARANCE,7694
184,85,FIRST_APPEARANCE,10
185,85,HOMELAND,3766
186,85,RACE,3745
187,86,SERIES,3804
188,86,DEBUT,3801
189,86,DEBUT,32
190,86,APPEARS_IN,3801
191,86,APPEARS_IN,3802
192,86,WEAPON,5690
193,87,FIRST_APPEARANCE,7798
194,87,FIRST_APPEARANCE,24
195,87,APPEARANCES,7798
196,87,APPEARANCES,3801
197,87,APPEARANCES,3802
198,87,FOUND,86
199,87,USE,90
200,87,USE,4946
201,88,FIRST_APPEARANCE,7798
202,88,FIRST_APPEARANCE,24
203,88,COUNTRY,3766
204,88,REGION,3776
205,88,INHABITANTS,90
206,89,FIRST_APPEARANCE,7798
207,89,FIRST_APPEARANCE,24
208,89,APPEARANCES,7798
209,89,APPEARANCES,3801
210,89,APPEARANCES,3802
211,89,FOUND,86
212,89,FOUND,86
213,89,USE,90
214,89,USE,4946
215,90,FIRST_APPEARANCE,7798
216,90,FIRST_APPEARANCE,24
217,90,TITLE,3127
218,90,HOMELAND,3766
219,90,HOMETOWN,3776
220,90,RACE,3745
221,91,FIRST_APPEARANCE,7701
222,91,FIRST_APPEARANCE,35
223,91,HOMELAND,3766
224,91,HOMETOWN,3507
225,91,KINDRED,2135
226,91,RACE,3745
227,92,FIRST_APPEARANCE,7767
228,92,FIRST_APPEARANCE,29
229,92,FOUND,5920
230,92,FOUND,5920
231,92,USE,5652
232,93,FIRST_APPEARANCE,7701
233,93,FIRST_APPEARANCE,35
234,93,HOMELAND,3766
235,93,HOMETOWN,3200
236,93,RACE,3195
237,94,FIRST_APPEARANCE,7701
238,94,HOMELAND,3766
239,94,HOMETOWN,95
240,94,RACE,6818
241,95,GAME,7701
242,95,GAME,35
243,95,MAIN_ITEM,7188
244,97,FIRST_APPEARANCE,7701
245,97,FIRST_APPEARANCE,35
246,97,COUNTRY,3766
247,97,POINT_OF_INTEREST,98
248,97,POINT_OF_INTEREST,108
249,97,POINT_OF_INTEREST,2264
250,97,POINT_OF_INTEREST,4643
251,97,POINT_OF_INTEREST,7117
252,97,POINT_OF_INTEREST,7221
253,97,POINT_OF_INTEREST,7548
254,97,INHABITANTS,3745
255,97,INHABITANTS,6312
256,97,INHABITANTS,7548
257,98,FIRST_APPEARANCE,7701
258,98,FIRST_APPEARANCE,35
259,98,COUNTRY,3766
260,98,REGION,1949
261,98,POINT_OF_INTEREST,6310
262,98,POINT_OF_INTEREST,7997
263,98,INHABITANTS,1581
264,98,INHABITANTS,6312
265,98,INHABITANTS,3980
266,99,FIRST_APPEARANCE,7701
267,99,FIRST_APPEARANCE,35
268,99,COUNTRY,3766
269,99,REGION,104
270,100,FIRST_APPEARANCE,7701
271,100,FIRST_APPEARANCE,35
272,100,FOUND,2264
273,101,FIRST_APPEARANCE,7701
274,101,FIRST_APPEARANCE,35
275,101,COUNTRY,3766
276,101,REGION,104
277,101,POINT_OF_INTEREST,108
278,101,INHABITANTS,4278
279,102,FIRST_APPEARANCE,7701
280,102,FIRST_APPEARANCE,35
281,102,COUNTRY,3766
282,102,REGION,104
283,102,POINT_OF_INTEREST,108
284,102,INHABITANTS,4278
285,103,FIRST_APPEARANCE,7701
286,103,FIRST_APPEARANCE,35
287,103,COUNTRY,3766
288,103,REGION,104
289,104,FIRST_APPEARANCE,7701
290,104,FIRST_APPEARANCE,35
291,104,COUNTRY,3766
292,104,REGION,97
293,104,POINT_OF_INTEREST,99
294,104,POINT_OF_INTEREST,102
295,104,POINT_OF_INTEREST,103
296,104,POINT_OF_INTEREST,105
297,104,POINT_OF_INTEREST,107
298,104,POINT_OF_INTEREST,2262
299,104,POINT_OF_INTEREST,2263
300,104,POINT_OF_INTEREST,3316
301,104,POINT_OF_INTEREST,4037
302,104,POINT_OF_INTEREST,4072
303,104,POINT_OF_INTEREST,4332
304,104,POINT_OF_INTEREST,4844
305,104,POINT_OF_INTEREST,6265
306,104,POINT_OF_INTEREST,6769
307,104,POINT_OF_INTEREST,7116
308,104,POINT_OF_INTEREST,7117
309,104,POINT_OF_INTEREST,7121
310,104,POINT_OF_INTEREST,7548
311,104,POINT_OF_INTEREST,8003
312,104,POINT_OF_INTEREST,8210
313,105,FIRST_APPEARANCE,7701
314,105,FIRST_APPEARANCE,35
315,105,COUNTRY,3766
316,105,REGION,104
317,106,FIRST_APPEARANCE,7701
318,106,FIRST_APPEARANCE,35
319,106,COUNTRY,3766
320,106,REGION,97
321,107,FIRST_APPEARANCE,7701
322,107,FIRST_APPEARANCE,35
323,107,COUNTRY,3766
324,107,REGION,104
325,108,FIRST_APPEARANCE,7701
326,108,FIRST_APPEARANCE,35
327,108,COUNTRY,3766
328,108,REGION,104
329,108,POINT_OF_INTEREST,102
330,109,FIRST_APPEARANCE,7701
331,109,FIRST_APPEARANCE,35
332,109,COUNTRY,3766
333,109,REGION,1949
334,110,FIRST_APPEARANCE,7701
335,110,FIRST_APPEARANCE,35
336,110,HOMELAND,3766
337,110,RACE,3745
338,111,FIRST_APPEARANCE,7776
339,111,FIRST_APPEARANCE,27
340,111,USE,6442
341,111,USE,8055
342,112,FIRST_APPEARANCE,7789
343,112,FIRST_APPEARANCE,21
344,112,HOMELAND,3345
345,112,HOMETOWN,2725
346,112,KINDRED,3305
347,112,RACE,4278
348,113,FIRST_APPEARANCE,7701
349,113,FIRST_APPEARANCE,35
350,113,COUNTRY,3766
351,113,REGION,3333
352,114,APPEARS_IN,7776
353,114,APPEARS_IN,27
354,114,HOMELAND,5425
355,114,HOMETOWN,66
356,114,KINDRED,3160
357,114,RACE,3745
358,115,FIRST_APPEARANCE,7701
359,115,FIRST_APPEARANCE,35
360,115,HOMELAND,3766
361,115,HOMETOWN,5641
362,115,RACE,3745
363,116,FIRST_APPEARANCE,7727
364,116,FIRST_APPEARANCE,18
365,116,APPEARANCES,7727
366,116,APPEARANCES,7789
367,116,POWER,4550
368,117,FIRST_APPEARANCE,7789
369,117,FIRST_APPEARANCE,21
370,117,FOUND,433
371,117,FOUND,6121
372,117,USE,2646
373,117,USE,5806
374,117,USE,6121
375,117,EFFECTIVE_AGAINST,6121
376,117,EFFECTIVE_AGAINST,5120
377,117,EFFECTIVE_AGAINST,6007
378,118,FIRST_APPEARANCE,7701
379,118,FIRST_APPEARANCE,35
380,118,LOCATION,4712
381,120,FIRST_APPEARANCE,7736
382,120,FIRST_APPEARANCE,16
383,120,COUNTRY,3766
384,120,REGION,8664
385,121,FIRST_APPEARANCE,7776
386,121,FIRST_APPEARANCE,27
387,121,COUNTRY,5425
388,121,REGION,8038
389,122,FIRST_APPEARANCE,7776
390,122,FIRST_APPEARANCE,27
391,122,COUNTRY,5425
392,122,REGION,2598
393,123,FIRST_APPEARANCE,7701
394,123,FIRST_APPEARANCE,35
395,123,HOMELAND,3766
396,123,HOMETOWN,6274
397,123,KINDRED,4088
398,123,KINDRED,1736
399,123,KINDRED,2945
400,123,KINDRED,4151
401,123,KINDRED,4292
402,123,KINDRED,5498
403,123,RACE,6268
404,124,FIRST_APPEARANCE,7701
405,124,FIRST_APPEARANCE,35
406,124,FOUND,1709
407,124,FOUND,5618
408,124,FOUND,7529
409,124,FOUND,5914
410,124,USE,125
411,124,USE,242
412,124,USE,6442
413,125,FIRST_APPEARANCE,7701
414,125,FIRST_APPEARANCE,35
415,125,FOUND,7286
416,125,USE,242
417,126,APPEARANCES,7767
418,126,APPEARANCES,29
419,126,FOUND,3766
420,126,USE,6642
421,127,FIRST_APPEARANCE,7747
422,127,FIRST_APPEARANCE,19
423,127,FOUNDED_IN,128
424,127,LEADER,6046
425,127,ALLIES,4550
426,127,ALLIES,5404
427,127,ENEMIES,8286
428,128,FIRST_APPEARANCE,7747
429,128,FIRST_APPEARANCE,19
430,128,COUNTRY,4320
431,128,INHABITANTS,6046
432,129,FIRST_APPEARANCE,7727
433,129,FOUND,5525
434,130,FIRST_APPEARANCE,7701
435,130,FIRST_APPEARANCE,35
436,130,HOMELAND,3766
437,130,HOMETOWN,8424
438,130,RACE,3745
439,132,FIRST_APPEARANCE,7701
440,132,FIRST_APPEARANCE,35
441,132,FOUND,6440
442,132,USE,2403
443,132,USE,8509
444,133,FIRST_APPEARANCE,7701
445,133,FIRST_APPEARANCE,35
446,133,HOMELAND,3766
447,133,HOMETOWN,3507
448,133,KINDRED,3944
449,133,KINDRED,306
450,133,RACE,3745
451,134,FIRST_APPEARANCE,7767
452,134,FIRST_APPEARANCE,29
453,134,LOCATION,4375
454,134,EFFECTIVE_WEAPON,626
455,134,EFFECTIVE_WEAPON,6842
456,134,EFFECTIVE_WEAPON,3908
457,134,EFFECTIVE_WEAPON,7464
458,134,EFFECTIVE_WEAPON,709
459,134,SPOILS,6442
460,135,FIRST_APPEARANCE,7736
461,135,FIRST_APPEARANCE,16
462,135,APPEARS_IN,7736
463,135,APPEARS_IN,7727
464,135,HOMELAND,3766
465,135,HOMELAND,7604
466,135,HOMETOWN,2731
467,135,HOMETOWN,3855
468,135,KINDRED,462
469,135,KINDRED,3998
470,135,KINDRED,5014
471,135,RACE,2993
472,135,RACE,5870
473,135,AFFILIATION,5874
474,136,FIRST_APPEARANCE,7701
475,136,FIRST_APPEARANCE,35
476,136,FOUND,2749
477,138,FIRST_APPEARANCE,7701
478,138,FIRST_APPEARANCE,35
479,138,HOMELAND,3766
480,138,HOMETOWN,2979
481,138,RACE,2951
482,139,FIRST_APPEARANCE,7701
483,139,FIRST_APPEARANCE,35
484,139,FOUND,98
485,139,FOUND,6311
486,139,FOUND,434
487,139,USE,271
488,139,EFFECTIVE_AGAINST,1943
489,139,EFFECTIVE_AGAINST,3421
490,139,EFFECTIVE_AGAINST,3408
491,139,EFFECTIVE_AGAINST,3416
492,139,EFFECTIVE_AGAINST,3425
493,139,EFFECTIVE_AGAINST,6726
494,139,EFFECTIVE_AGAINST,1607
495,139,EFFECTIVE_AGAINST,5544
496,139,EFFECTIVE_AGAINST,4124
497,139,EFFECTIVE_AGAINST,5723
498,139,EFFECTIVE_AGAINST,610
499,139,EFFECTIVE_AGAINST,5171
500,139,EFFECTIVE_AGAINST,4619
501,139,EFFECTIVE_AGAINST,4716
502,139,EFFECTIVE_AGAINST,8507
503,139,EFFECTIVE_AGAINST,8574
504,139,EFFECTIVE_AGAINST,8577
505,140,FIRST_APPEARANCE,7701
506,140,FIRST_APPEARANCE,35
507,140,HOMELAND,3766
508,140,HOMETOWN,2506
509,141,FIRST_APPEARANCE,7701
510,141,FOUND,3408
511,141,FOUND,132
512,141,USE,3408
513,141,USE,303
514,141,USE,380
515,141,USE,5618
516,141,USE,5914
517,142,FIRST_APPEARANCE,7701
518,142,FOUND,3408
519,142,FOUND,132
520,142,USE,3408
521,142,USE,303
522,142,USE,380
523,142,USE,5618
524,142,USE,5914
525,143,FIRST_APPEARANCE,7701
526,143,FOUND,3408
527,143,FOUND,132
528,143,USE,3408
529,143,USE,303
530,143,USE,380
531,143,USE,5618
532,143,USE,5914
533,144,FIRST_APPEARANCE,7701
534,144,FIRST_APPEARANCE,35
535,144,FOUND,98
536,144,USE,7464
537,144,USE,5914
538,144,USE,380
539,144,USE,5618
540,145,FIRST_APPEARANCE,7701
541,145,FIRST_APPEARANCE,35
542,145,FOUND,98
543,145,EFFECTIVE_AGAINST,3401
544,146,FIRST_APPEARANCE,7701
545,146,FIRST_APPEARANCE,35
546,146,USE,3693
547,147,GAME,7727
548,147,GAME,18
549,147,LOCATION,3856
550,147,MAIN_ITEM,2346
551,147,MINI_BOSS,3853
552,147,MINI_BOSS,3854
553,148,FIRST_APPEARANCE,7767
554,148,FIRST_APPEARANCE,29
555,148,FOUND,4380
556,149,GAME,7767
557,149,GAME,29
558,149,LOCATION,4335
559,149,MAIN_ITEM,8431
560,149,MINI_BOSS,7258
561,149,BOSS,4266
562,150,FIRST_APPEARANCE,7701
563,150,FIRST_APPEARANCE,35
564,150,COUNTRY,3766
565,150,REGION,7497
566,151,FIRST_APPEARANCE,7701
567,151,FIRST_APPEARANCE,35
568,151,FOUND,3401
569,151,FOUND,1760
570,151,FOUND,3411
571,151,FOUND,3412
572,151,FOUND,3416
573,151,FOUND,3421
574,151,FOUND,3425
575,151,FOUND,6726
576,151,FOUND,6882
577,151,FOUND,7573
578,151,USE,161
579,151,USE,176
580,151,USE,242
581,151,USE,7288
582,151,USE,5917
583,152,FIRST_APPEARANCE,7701
584,152,FIRST_APPEARANCE,35
585,152,FOUND,98
586,152,USE,242
587,152,USE,176
588,153,FIRST_APPEARANCE,7727
589,153,FIRST_APPEARANCE,33
590,153,FOUND,7436
591,154,APPEARANCES,7767
592,154,APPEARANCES,29
593,154,FOUND,4375
594,154,FOUND,7917
595,154,FOUND,5842
596,154,FOUND,7916
597,154,FOUND,6002
598,154,USE,4946
599,154,USE,6642
600,154,USE,4318
601,155,FIRST_APPEARANCE,7701
602,155,FIRST_APPEARANCE,35
603,155,FOUND,3507
604,155,FOUND,8146
605,155,USE,570
606,156,FIRST_APPEARANCE,7701
607,156,FOUND,3401
608,156,FOUND,1943
609,156,FOUND,3410
610,156,FOUND,3411
611,156,FOUND,3412
612,156,FOUND,3416
613,156,FOUND,3421
614,156,FOUND,3425
615,156,FOUND,6726
616,156,FOUND,7573
617,156,USE,176
618,156,USE,242
619,156,USE,5917
620,157,FIRST_APPEARANCE,7776
621,157,FIRST_APPEARANCE,27
622,157,USE,6442
623,157,USE,8055
624,158,FIRST_APPEARANCE,7701
625,158,FIRST_APPEARANCE,35
626,158,FOUND,98
627,158,USE,242
628,158,USE,176
629,159,FIRST_APPEARANCE,7767
630,159,FIRST_APPEARANCE,29
631,159,COUNTRY,3766
632,159,REGION,4375
633,159,TERRAIN,4387
634,159,TERRAIN,6927
635,159,POINT_OF_INTEREST,3085
636,159,POINT_OF_INTEREST,5277
637,159,POINT_OF_INTEREST,7917
638,159,POINT_OF_INTEREST,226
639,159,INHABITANTS,4317
640,160,FIRST_APPEARANCE,7701
641,160,FIRST_APPEARANCE,35
642,160,FOUND,98
643,160,USE,242
644,160,USE,176
645,162,FIRST_APPEARANCE,7727
646,162,FIRST_APPEARANCE,18
647,163,FIRST_APPEARANCE,7767
648,163,FIRST_APPEARANCE,29
649,163,HOMELAND,4375
650,163,NOTABLE_MEMBERS,4315
651,163,NOTABLE_MEMBERS,4316
652,163,NOTABLE_MEMBERS,4317
653,163,NOTABLE_MEMBERS,4318
654,164,FIRST_APPEARANCE,7767
655,164,FIRST_APPEARANCE,29
656,164,HOMELAND,4375
657,164,NOTABLE_MEMBERS,4315
658,164,NOTABLE_MEMBERS,4316
659,164,NOTABLE_MEMBERS,4317
660,164,NOTABLE_MEMBERS,4318
661,166,APPEARS_IN,7720
662,166,APPEARS_IN,11
663,166,COUNTRY,4244
664,166,REGION,2462
665,167,GAME,7753
666,167,GAME,19
667,167,LOCATION,7547
668,167,MAIN_ITEM,4789
669,167,MINI_BOSS,8304
670,167,BOSS,4877
671,168,FIRST_APPEARANCE,7701
672,168,FIRST_APPEARANCE,35
673,168,USE,3693
674,169,FIRST_APPEARANCE,7736
675,169,FIRST_APPEARANCE,16
676,169,APPEARS_IN,7736
677,169,APPEARS_IN,7798
678,169,GOALS,3766
679,169,GOALS,5145
680,169,GOALS,5974
681,169,MEMBERS,6123
682,169,ALLIES,4550
683,169,ALLIES,5068
684,169,ALLIES,297
685,169,ALLIES,5974
686,169,ENEMIES,2898
687,169,ENEMIES,8611
688,170,FIRST_APPEARANCE,7701
689,170,FOUND,3401
690,170,FOUND,1943
691,170,FOUND,3408
692,170,FOUND,3416
693,170,FOUND,3421
694,170,FOUND,3425
695,170,FOUND,6726
696,170,FOUND,7573
697,170,USE,161
698,170,USE,176
699,170,USE,242
700,170,USE,6825
701,170,USE,5917
702,171,FIRST_APPEARANCE,7767
703,171,FIRST_APPEARANCE,29
704,171,FOUND,6943
705,171,USE,7917
706,171,USE,4387
707,172,FIRST_APPEARANCE,7701
708,172,FOUND,3401
709,172,FOUND,1943
710,172,FOUND,3410
711,172,FOUND,3411
712,172,FOUND,3412
713,172,FOUND,3416
714,172,FOUND,3421
715,172,FOUND,3425
716,172,FOUND,6726
717,172,FOUND,7573
718,172,USE,161
719,172,USE,176
720,172,USE,6210
721,172,USE,5917
722,173,FIRST_APPEARANCE,7701
723,173,FOUND,98
724,173,USE,6842
725,174,FIRST_APPEARANCE,7701
726,174,FIRST_APPEARANCE,35
727,174,FOUND,98
728,174,USE,7464
729,174,USE,5914
730,174,USE,380
731,174,EFFECTIVE_AGAINST,3401
732,175,FIRST_APPEARANCE,7798
733,175,FIRST_APPEARANCE,24
734,175,FOUND,3629
735,175,USE,6983
736,178,FIRST_APPEARANCE,7701
737,178,FIRST_APPEARANCE,35
738,178,FOUND,98
739,178,USE,7140
740,178,USE,5914
741,178,EFFECTIVE_AGAINST,3401
742,179,FIRST_APPEARANCE,7701
743,179,FOUND,3401
744,179,FOUND,1943
745,179,FOUND,3409
746,179,FOUND,3410
747,179,FOUND,3411
748,179,FOUND,3412
749,179,FOUND,3416
750,179,FOUND,3421
751,179,FOUND,3425
752,179,FOUND,6726
753,179,FOUND,7573
754,179,USE,161
755,179,USE,176
756,179,USE,242
757,179,USE,5917
758,180,FIRST_APPEARANCE,7767
759,180,FIRST_APPEARANCE,29
760,180,FOUND,3892
761,180,FOUND,6987
762,180,FOUND,2259
763,180,USE,3766
764,182,GAME,7747
765,182,GAME,19
766,182,LOCATION,6660
767,182,MAIN_ITEM,5930
768,182,MINI_BOSS,585
769,182,BOSS,6101
770,183,FIRST_APPEARANCE,7701
771,183,FIRST_APPEARANCE,35
772,183,COUNTRY,3766
773,183,REGION,1533
774,184,FIRST_APPEARANCE,7701
775,184,FIRST_APPEARANCE,35
776,184,COUNTRY,3766
777,185,GAME,7720
778,185,GAME,11
779,185,LOCATION,7521
780,185,MAIN_ITEM,8663
781,185,MINI_BOSS,1779
782,185,BOSS,187
783,187,FIRST_APPEARANCE,7720
784,187,FIRST_APPEARANCE,11
785,187,LOCATION,185
786,187,EFFECTIVE_WEAPON,7464
787,187,EFFECTIVE_WEAPON,709
788,187,SPOILS,3893
789,187,SPOILS,3520
790,188,FIRST_APPEARANCE,7747
791,188,FIRST_APPEARANCE,19
792,188,LOCATION,3956
793,188,EFFECTIVE_WEAPON,6711
794,188,SPOILS,2472
795,189,FIRST_APPEARANCE,7720
796,189,FIRST_APPEARANCE,11
797,189,FOUND,8558
798,189,USE,185
799,190,FIRST_APPEARANCE,7789
800,190,FIRST_APPEARANCE,21
801,190,COUNTRY,3345
802,190,POINT_OF_INTEREST,3624
803,191,FIRST_APPEARANCE,7727
804,191,FIRST_APPEARANCE,18
805,191,LEADER,2121
806,191,MEMBERS,3443
807,192,FIRST_APPEARANCE,7720
808,192,FIRST_APPEARANCE,11
809,192,COUNTRY,4244
810,192,INHABITANTS,1580
811,192,INHABITANTS,1605
812,192,INHABITANTS,3658
813,192,INHABITANTS,6633
814,193,APPEARS_IN,7776
815,193,APPEARS_IN,27
816,193,HOMELAND,5425
817,193,RACE,4639
818,193,AFFILIATION,7619
819,193,AFFILIATION,6398
820,193,AFFILIATION,7203
821,194,FIRST_APPEARANCE,7727
822,194,FIRST_APPEARANCE,18
823,194,HOMELAND,7604
824,194,HOMETOWN,1651
825,194,KINDRED,2872
826,194,KINDRED,8010
827,194,KINDRED,197
828,194,KINDRED,196
829,194,RACE,3745
830,195,FIRST_APPEARANCE,7782
831,195,FIRST_APPEARANCE,23
832,195,COUNTRY,3766
833,195,REGION,3797
834,195,INHABITANTS,1768
835,196,FIRST_APPEARANCE,7727
836,196,FIRST_APPEARANCE,18
837,196,HOMELAND,7604
838,196,HOMETOWN,1651
839,196,KINDRED,197
840,196,KINDRED,194
841,196,KINDRED,8010
842,196,KINDRED,4039
843,196,RACE,3745
844,197,FIRST_APPEARANCE,7736
845,197,FIRST_APPEARANCE,16
846,197,APPEARS_IN,7736
847,197,APPEARS_IN,7727
848,197,APPEARS_IN,7782
849,197,HOMELAND,3766
850,197,HOMELAND,7604
851,197,HOMELAND,3766
852,197,HOMETOWN,4055
853,197,HOMETOWN,1651
854,197,HOMETOWN,3797
855,197,KINDRED,5342
856,197,KINDRED,3388
857,197,KINDRED,3275
858,197,KINDRED,196
859,197,KINDRED,194
860,197,KINDRED,8010
861,197,KINDRED,4039
862,197,KINDRED,2872
863,197,KINDRED,4953
864,197,KINDRED,4754
865,197,RACE,3745
866,197,RACE,3745
867,197,RACE,3745
868,198,FIRST_APPEARANCE,7701
869,198,FIRST_APPEARANCE,35
870,198,COUNTRY,3766
871,198,REGION,106
872,199,FIRST_APPEARANCE,7789
873,199,FIRST_APPEARANCE,21
874,199,APPEARS_IN,7789
875,199,APPEARS_IN,7782
876,199,APPEARS_IN,7712
877,199,HOMELAND,3766
878,199,KINDRED,7934
879,199,KINDRED,4231
880,199,KINDRED,1923
881,199,RACE,3745
882,200,FIRST_APPEARANCE,7701
883,200,FIRST_APPEARANCE,35
884,200,HOMELAND,3766
885,200,HOMETOWN,4358
886,200,RACE,3745
887,201,FIRST_APPEARANCE,7760
888,201,FIRST_APPEARANCE,25
889,201,APPEARS_IN,7760
890,201,APPEARS_IN,7776
891,201,HOMELAND,8541
892,201,HOMELAND,5425
893,201,NOTABLE_MEMBERS,266
894,201,NOTABLE_MEMBERS,788
895,201,NOTABLE_MEMBERS,2108
896,201,NOTABLE_MEMBERS,2698
897,201,NOTABLE_MEMBERS,3442
898,201,NOTABLE_MEMBERS,3674
899,201,NOTABLE_MEMBERS,3916
900,201,NOTABLE_MEMBERS,4238
901,201,NOTABLE_MEMBERS,4306
902,201,NOTABLE_MEMBERS,4969
903,201,NOTABLE_MEMBERS,5469
904,201,NOTABLE_MEMBERS,5475
905,201,NOTABLE_MEMBERS,8560
906,201,NOTABLE_MEMBERS,8561
907,202,FIRST_APPEARANCE,7760
908,202,FIRST_APPEARANCE,25
909,202,COUNTRY,8541
910,202,REGION,3923
911,202,INHABITANTS,266
912,202,INHABITANTS,1729
913,202,INHABITANTS,2108
914,202,INHABITANTS,2698
915,202,INHABITANTS,3442
916,202,INHABITANTS,4306
