,source,source_str,relation,name,dst_str,dst
101,104,Akkala_Highlands.html,locat_in,The Legend of Zelda:,,
102,104,Akkala_Highlands.html,locat_in,part,,
103,105,Akkala_Parade_Ground_Ruins.html,locat_in,The Legend of Zelda:,,
104,105,Akkala_Parade_Ground_Ruins.html,locat_in,the Akkala Highlands region,,
105,106,Akkala_Sea.html,locat_in,The Legend of Zelda:,,
106,106,Akkala_Sea.html,locat_in,the Akkala province,,
107,107,Akkala_Span.html,locat_in,The Legend of Zelda:,,
108,107,Akkala_Span.html,locat_in,the Akkala Highlands region,,
109,108,Akkala_Tower.html,locat_from,The Legend of Zelda:,,
110,108,Akkala_Tower.html,locat_in,middle,,
111,109,Akkala_Wilds.html,locat_in,The Legend of Zelda:,,
112,109,Akkala_Wilds.html,locat_in,region,,
113,109,Akkala_Wilds.html,region_of,Hyrule,Hyrule.html,3766.0
114,110,Akrah.html,charact_in,The Legend of Zelda:,,
115,111,Alchemy_Stone.html,item_from,The Legend of Zelda,,
116,112,Aldo.html,charact_from,The Legend of Zelda,,
117,113,Aldor_Foothills.html,locat_from,The Legend of Zelda:,,
118,113,Aldor_Foothills.html,locat_in,region,,
119,113,Aldor_Foothills.html,region_of,Hinox,Hinox.html,3646.0
120,114,Alfonzo.html,charact_from,The Legend of Zelda,,
121,115,Aliza.html,charact_from,The Legend of Zelda:,,
122,117,All-Purpose_Bait.html,item_from,The Legend of Zelda,,
123,118,All_or_Nothing.html,shop_from,The Legend of Zelda:,,
124,118,All_or_Nothing.html,locat_at,Lurelin Village,Lurelin_Village.html,4712.0
125,118,All_or_Nothing.html,region_of,Hyrule,Hyrule.html,3766.0
126,120,Altar_of_Lord_Jabu-Jabu.html,locat_from,The Legend of Zelda,,
127,121,Altar_of_the_Demon_King.html,locat_from,The Legend of Zelda,,
128,122,Altar_of_the_Mountain_Goddess.html,locat_from,The Legend of Zelda,,
129,123,Amali.html,charact_from,The Legend of Zelda:,,
130,124,Amber.html,item_from,The Legend of Zelda:,,
131,125,Amber_Earrings.html,obtain_from,shop,,
132,125,Amber_Earrings.html,shop_at,Gerudo Town,Gerudo_Town.html,2979.0
133,125,Amber_Earrings.html,given_by,Isha,Isha.html,3912.0
134,126,Amber_Relic.html,item_from,The Legend of Zelda,,
135,130,Ami.html,charact_in,The Legend of Zelda:,,
136,130,Ami.html,region_of,Hyrule,Hyrule.html,3766.0
137,131,Amiibo.html,charact_from,games,,
138,131,Amiibo.html,locat_underneath,pad,,
139,131,Amiibo.html,store_in,base,,
140,132,Amiibo_Rune.html,shrine_of,the Great Plateau,,
141,133,Amira.html,charact_from,The Legend of Zelda:,,
142,133,Amira.html,live_in,Hateno Village,Hateno_Village.html,3507.0
143,134,Ampilus.html,enemi_from,The Legend of Zelda,,
144,134,Ampilus.html,inhabit_for,aeons,,
145,135,Amy.html,charact_in,the Legend of Zelda,,
146,136,An_Ancient_Text.html,item_from,The Legend of Zelda:,,
147,136,An_Ancient_Text.html,locat_on,side,,
148,137,An_Ice_Guy.html,quest_in,The Legend of Zelda:,,
149,137,An_Ice_Guy.html,given_to,Link,Link.html,4550.0
150,138,Anche.html,charact_in,The Legend of Zelda:,,
151,139,Ancient_Arrow.html,item_from,The Legend of Zelda:,,
152,140,Ancient_Barbarian_Tribe.html,region_of,Hyrule,Hyrule.html,3766.0
153,140,Ancient_Barbarian_Tribe.html,inhabit_in,past,,
154,144,Ancient_Bladesaw.html,item_from,The Legend of Zelda:,,
155,146,Ancient_Bridle.html,obtain_upon,installation,,
156,146,Ancient_Bridle.html,locat_under,tree,,
157,147,Ancient_Castle_of_Ikana.html,dungeon_from,The Legend of Zelda,,
158,148,Ancient_Circuit.html,item_from,The Legend of Zelda,,
159,149,Ancient_Cistern.html,releas_into,area,,
160,150,Ancient_Columns.html,locat_in,The Legend of Zelda:,,
161,150,Ancient_Columns.html,locat_in,region,,
162,150,Ancient_Columns.html,region_of,Hyrule,Hyrule.html,3766.0
163,151,Ancient_Core.html,item_in,The Legend of Zelda:,,
164,151,Ancient_Core.html,obtain_in,manner,,
165,152,Ancient_Cuirass.html,item_from,The Legend of Zelda:,,
166,154,Ancient_Flower.html,item_from,The Legend of Zelda,,
167,154,Ancient_Flower.html,region_of,The Surface,Hyrule.html,3766.0
168,155,Ancient_Furnace.html,locat_in,Hateno Village,Hateno_Village.html,3507.0
169,155,Ancient_Furnace.html,locat_at,Tumlea Heights,,
170,156,Ancient_Gear.html,item_in,The Legend of Zelda:,,
171,157,Ancient_Gold_Piece.html,item_from,The Legend of Zelda,,
172,158,Ancient_Greaves.html,item_from,The Legend of Zelda:,,
173,159,Ancient_Harbor.html,locat_from,The Legend of Zelda,,
174,163,Ancient_Robot.html,race_in,The Legend of Zelda,,
175,163,Ancient_Robot.html,live_in,region,,
176,163,Ancient_Robot.html,locat_in,Lanayru Gorge,Lanayru_Gorge.html,4376.0
177,164,Ancient_Robots.html,race_in,The Legend of Zelda,,
178,164,Ancient_Robots.html,live_in,region,,
179,164,Ancient_Robots.html,locat_in,Lanayru Gorge,Lanayru_Gorge.html,4376.0
180,166,Ancient_Ruins_(Link's_Awakening).html,locat_from,The Legend of Zelda,,
181,167,Ancient_Ruins_(Oracle_of_Seasons).html,locat_inside,tower,,
182,167,Ancient_Ruins_(Oracle_of_Seasons).html,locat_of,Tarm Ruins,Tarm_Ruins.html,7547.0
183,167,Ancient_Ruins_(Oracle_of_Seasons).html,locat_on,square,,
184,168,Ancient_Saddle.html,obtain_upon,installation,,
185,168,Ancient_Saddle.html,locat_at,Malanya Spring,,
186,171,Ancient_Sea_Chart.html,item_from,The Legend of Zelda,,
187,171,Ancient_Sea_Chart.html,locat_of,Pirate Stronghold,Pirate_Stronghold.html,5842.0
188,174,Ancient_Short_Sword.html,item_from,The Legend of Zelda:,,
189,174,Ancient_Short_Sword.html,obtain_from,Guardian Scouts,Guardian_Scout.html,3408.0
190,175,Ancient_Sky_Book.html,item_from,The Legend of Zelda:,,
191,180,Ancient_Tablet.html,item_from,The Legend of Zelda,,
192,182,Ancient_Tomb.html,dungeon_of,game,,
193,183,Ancient_Tree_Stump.html,locat_in,The Legend of Zelda:,,
194,183,Ancient_Tree_Stump.html,locat_in,province,,
195,184,Angel_Peak.html,locat_from,The Legend of Zelda:,,
196,184,Angel_Peak.html,locat_in,region,,
197,184,Angel_Peak.html,region_of,Hyrule,Hyrule.html,3766.0
198,185,Angler's_Tunnel.html,dungeon_in,The Legend of Zelda,,
199,187,Angler_Fish_(Link's_Awakening).html,boss_of,Tunnel,,
200,187,Angler_Fish_(Link's_Awakening).html,dungeon_in,The Legend of Zelda,,
201,188,Angler_Fish_(Oracle_of_Ages).html,boss_of,Belly,,
202,189,Angler_Key.html,item_from,The Legend of Zelda,,
203,189,Angler_Key.html,dungeon_on,Link,Link.html,4550.0
204,190,Angular_Isles.html,locat_from,The Legend of Zelda,,
205,190,Angular_Isles.html,island_in,section,,
206,192,Animal_Village.html,locat_from,The Legend of Zelda,,
207,192,Animal_Village.html,region_of,Koholint Island Animal Village,,
208,193,Anjean.html,charact_from,The Legend of Zelda,,
209,194,Anju's_Grandmother.html,charact_from,The Legend of Zelda,,
210,195,Anju's_Henhouse.html,locat_from,The Legend of Zelda,,
211,196,Anju's_Mother.html,charact_from,The Legend of Zelda,,
212,197,Anju.html,charact_in,the Legend of Zelda,,
213,198,Ankel_Island.html,locat_from,The Legend of Zelda:,,
214,198,Ankel_Island.html,locat_in,region,,
215,198,Ankel_Island.html,region_of,Hyrule Ankel Island,,
216,199,Ankle.html,charact_in,Legend,,
217,200,Anly.html,charact_from,The Legend of Zelda:,,
218,200,Anly.html,region_of,Hyrule,Hyrule.html,3766.0
219,201,Anouki.html,race_in,the Legend of Zelda,,
220,202,Anouki_Estates.html,inhabit_by,tribe,,
221,203,Anouki_General_Store.html,shop_from,The Legend of Zelda,,
222,204,Anouki_Headband.html,obtain_on,Koholint Island Adventure Map,,
223,206,Anouki_Village_Goron.html,charact_from,The Legend of Zelda,,
224,208,Anti-Fairy.html,defeat_in,manner,,
225,209,Anti-Kirby.html,enemi_from,The Legend of Zelda,,
226,212,Anton_(The_Minish_Cap).html,charact_from,The Legend of Zelda,,
227,213,Anton_(The_Wind_Waker).html,charact_from,The Legend of Zelda,,
228,213,Anton_(The_Wind_Waker).html,live_on,Windfall Island,Windfall_Island.html,8478.0
229,214,Anubis.html,enemi_from,The Legend of Zelda,,
230,215,Apparatus.html,object_in,Shrines,Shrine_(Breath_of_the_Wild).html,6882.0
231,216,Apple.html,item_in,Legend,,
232,217,Apple_Pie.html,item_from,The Legend of Zelda:,,
233,218,Applean_Forest.html,locat_in,The Legend of Zelda:,,
234,221,Aquame_Bridge.html,locat_from,The Legend of Zelda:,,
235,221,Aquame_Bridge.html,locat_in,region,,
236,221,Aquame_Bridge.html,region_of,Hyrule,Hyrule.html,3766.0
237,222,Aquame_Lake.html,locat_from,The Legend of Zelda:,,
238,222,Aquame_Lake.html,locat_in,region,,
239,222,Aquame_Lake.html,region_of,Hyrule,Hyrule.html,3766.0
240,224,Aquamentus_(Oracle_of_Seasons).html,boss_of,the Gnarled Root Dungeon,,
241,225,Aquamentus_(The_Legend_of_Zelda).html,boss_from,The Legend of Zelda,The_Legend_of_Zelda.html,7673.0
242,225,Aquamentus_(The_Legend_of_Zelda).html,boss_of,levels,Level_4_(Second_Quest).html,4470.0
243,226,Aracha.html,enemi_from,The Legend of Zelda,,
244,226,Aracha.html,live_for,"over 1,000 years",,
245,226,Aracha.html,defeat_by,sort,,
246,230,Arbiter's_Grounds__Ranger.html,locat_in,pots,Pot.html,5914.0
247,230,Arbiter's_Grounds__Ranger.html,item_besides,Bulblins,Bulblin.html,778.0
248,232,Archer.html,enemi_in,the Legend of Zelda,,
249,233,Ardin.html,charact_in,The Legend of Zelda:,,
250,236,Argorok.html,boss_of,the City,,
251,236,Argorok.html,dungeon_in,The Legend of Zelda:,,
252,237,Ariane.html,charact_in,The Legend of Zelda:,,
253,237,Ariane.html,region_of,Hyrule,Hyrule.html,3766.0
254,238,Aris_Beach.html,locat_from,The Legend of Zelda:,,
255,238,Aris_Beach.html,locat_in,region,,
256,238,Aris_Beach.html,region_of,Hyrule,Hyrule.html,3766.0
257,239,Arm_Mimic.html,enemi_from,Legend,,
258,239,Arm_Mimic.html,defeat_with,Attacks,,
259,240,Armes.html,charact_from,The Legend of Zelda:,,
260,240,Armes.html,region_of,Hyrule,Hyrule.html,3766.0
261,242,Armor.html,item_in,The Legend of Zelda:,,
262,244,Armor_Ring_L-1.html,obtain_in,Oracle,,
263,246,Armor_Ring_L-3.html,locat_to,right,,
264,247,Armor_Seed.html,item_from,The Legend of Zelda,,
265,248,Armoranth.html,item_from,The Legend of Zelda:,,
266,249,Armored_Carp.html,item_from,The Legend of Zelda:,,
267,250,Armored_Helmet.html,obtain_on,Map,,
268,251,Armored_Porgy.html,item_from,The Legend of Zelda:,,
269,252,Armored_Top.html,obtain_on,Map,,
270,253,Armored_Train.html,enemi_from,The Legend of Zelda,,
271,254,Armored_Trousers.html,obtain_on,Map,,
272,255,Armorer.html,charact_from,Rosy Rupeeland,,
273,255,Armorer.html,live_in,half,,
274,256,Armos.html,enemi_in,Legend,,
275,257,Armos_Knight.html,enemi_in,Legend,,
276,258,Armos_Knight_(Link's_Awakening).html,boss_from,The Legend of Zelda,,
277,259,Armos_Knights.html,boss_of,the Eastern Palace,,
278,259,Armos_Knights.html,dungeon_in,the The Legend of Zelda:,,
279,259,Armos_Knights.html,boss_in,Ganon's Tower,Ganon%27s_Tower_(A_Link_to_the_Past).html,2880.0
280,262,Armos_Statue.html,object_in,the Legend of Zelda,,
281,263,Armos_Titan.html,enemi_from,versions,,
282,263,Armos_Titan.html,locat_on,chest,,
283,264,Armos_Warrior.html,boss_of,Skull Dungeon,Skull_Dungeon.html,6948.0
284,265,Arn.html,charact_from,the Legend of Zelda,,
285,265,Arn.html,charact_by,Valiant,,
286,266,Aroo.html,charact_from,The Legend of Zelda:,,
287,266,Aroo.html,live_with,members,,
288,266,Aroo.html,race_in,the Anouki Estates,,
289,266,Aroo.html,race_on,the Isle of Frost,,
290,268,Arrghus_(A_Link_Between_Worlds).html,boss_of,the Swamp Palace,,
291,268,Arrghus_(A_Link_Between_Worlds).html,dungeon_from,Lorule,Lorule.html,4671.0
292,269,Arrghus_(A_Link_to_the_Past).html,boss_of,the Swamp Palace,,
293,269,Arrghus_(A_Link_to_the_Past).html,dungeon_of,the Dark World,,
294,269,Arrghus_(A_Link_to_the_Past).html,dungeon_in,The Legend of Zelda,,
295,270,Arrghus_(Tri_Force_Heroes).html,boss_from,The Legend of Zelda:,,
296,271,Arrow.html,obtain_from,Treasure Chests,Treasure_Chest.html,8076.0
297,271,Arrow.html,store_in,Quiver,Quiver.html,6071.0
298,272,Arrow_Orb.html,object_in,the Legend of Zelda,,
299,273,Arrow_Specialty_Shop.html,shop_from,The Legend of Zelda:,,
300,273,Arrow_Specialty_Shop.html,shop_in,Gerudo Town,Gerudo_Town.html,2979.0
301,274,Arrows.html,obtain_from,Treasure Chests,Treasure_Chest.html,8076.0
302,274,Arrows.html,store_in,Quiver,Quiver.html,6071.0
303,275,Arrows_of_Burning_Heat.html,quest_in,The Legend of Zelda:,,
304,275,Arrows_of_Burning_Heat.html,given_to,Link,Link.html,4550.0
305,276,Art_and_Artifacts.html,publish_by,Dark Horse Books,,
306,277,Artist's_Beret.html,obtain_on,Koholint Island Adventure Map,,
307,278,Aru_Lowder.html,enemi_from,Zelda II,,
308,279,Arwing.html,enemi_from,The Legend of Zelda,,
309,280,Aryll's_Lookout.html,locat_from,The Legend of Zelda,,
310,281,Aryll.html,charact_from,The Legend of Zelda,,
311,282,Ash_Swamp.html,locat_from,The Legend of Zelda:,,
312,282,Ash_Swamp.html,locat_in,part,,
313,284,Ashe.html,charact_in,The Legend of Zelda:,,
314,284,Ashe.html,region_of,Hyrule,Hyrule.html,3766.0
315,286,Ashei's_Sketch.html,item_from,The Legend of Zelda:,,
316,288,Aster.html,charact_from,The Legend of Zelda:,,
317,288,Aster.html,live_at,Hateno Village,Hateno_Village.html,3507.0
318,288,Aster.html,region_of,Hyrule,Hyrule.html,3766.0
319,289,Astral_Observatory.html,locat_from,The Legend of Zelda,,
320,290,Astrid.html,charact_from,The Legend of Zelda:,,
321,293,Atun_Valley.html,locat_from,The Legend of Zelda:,,
322,293,Atun_Valley.html,locat_in,region,,
323,293,Atun_Valley.html,region_of,Hyrule,Hyrule.html,3766.0
324,295,Auros_Ruins.html,locat_from,Rosy Rupeeland,,
325,295,Auros_Ruins.html,locat_within,the Third Continent Auros Ruins,,
326,295,Auros_Ruins.html,defeat_including,Boss,,
327,297,Auru.html,charact_from,The Legend of Zelda:,,
328,300,Aveil.html,charact_in,the Legend of Zelda,,
329,304,Axyl.html,charact_from,The Legend of Zelda:,,
330,305,Aya.html,charact_from,The Legend of Zelda:,,
331,305,Aya.html,region_of,Hyrule,Hyrule.html,3766.0
332,306,Azu.html,live_in,Hateno Village,Hateno_Village.html,3507.0
333,307,BS_The_Legend_of_Zelda.html,releas_for,attachment,,
334,309,BS_Zelda_no_Densetsu.html,releas_for,attachment,,
335,312,Baba_Bud.html,item_from,The Legend of Zelda,,
336,312,Baba_Bud.html,defeat_at,times,,
337,313,Baba_Serpent.html,enemi_from,The Legend of Zelda:,,
338,313,Baba_Serpent.html,weapon_as,Bow,,
339,314,Babi.html,charact_in,The Legend of Zelda:,,
340,315,Babusu.html,enemi_from,The Legend of Zelda,,
341,315,Babusu.html,defeat_with,strike,,
342,316,Baby_Dodongo.html,enemi_from,The Legend of Zelda,,
343,317,Baby_Gohma.html,enemi_from,The Legend of Zelda:,,
344,318,Baby_Maiamai.html,item_from,The Legend of Zelda,,
345,318,Baby_Maiamai.html,region_of,world,,
346,319,Baby_Turtles.html,charact_from,The Legend of Zelda,,
347,320,Back_Alley.html,locat_from,The Legend of Zelda,,
348,320,Back_Alley.html,locat_within,Hyrule Castle Town,Hyrule_Castle_Town.html,3776.0
349,322,Backroom.html,locat_from,The Legend of Zelda,,
350,322,Backroom.html,locat_behind,the Curiosity Shop,,
351,323,Bad_Bat.html,enemi_from,The Legend of Zelda,,
352,325,Bad_Uncle_Rupee's_Ashen_Rupeeland.html,given_to,portion,,
353,325,Bad_Uncle_Rupee's_Ashen_Rupeeland.html,defeat_in,hallucination,,
354,327,Bag_Guy.html,charact_from,The Legend of Zelda,,
355,329,Baga_Tree.html,charact_from,manga,The_Legend_of_Zelda__Ocarina_of_Time_(manga).html,7737.0
356,329,Baga_Tree.html,inhabit_with,face,,
357,330,Bago_Bago.html,enemi_from,Zelda II,,
358,330,Bago_Bago.html,region_of,Hyrule,Hyrule.html,3766.0
359,331,Bagu's_Note.html,item_from,Zelda II,,
360,332,Bagu.html,charact_from,Zelda II,,
361,332,Bagu.html,live_in,one,,
362,333,Bait_Bag.html,item_in,The Legend of Zelda,,
363,334,Baito.html,charact_from,The Legend of Zelda,,
364,335,Baked_Apple.html,item_from,The Legend of Zelda:,,
365,336,Baked_Fortified_Pumpkin.html,item_from,The Legend of Zelda:,,
366,337,Baked_Palm_Fruit.html,item_from,The Legend of Zelda:,,
367,338,Bakery_of_Wheaton_and_Pita.html,shop_from,The Legend of Zelda,,
368,339,Ball_&_Chain_Trooper.html,enemi_in,the Legend of Zelda,,
369,339,Ball_&_Chain_Trooper.html,enemi_in,series,,
370,340,Ball_and_Chain.html,weapon_from,The Legend of Zelda,,
371,340,Ball_and_Chain.html,weapon_from,the Middle Ages,,
372,340,Ball_and_Chain.html,item_in,arsenal,,
373,341,Ball_and_Chain_Trooper.html,enemi_in,the Legend of Zelda,,
374,341,Ball_and_Chain_Trooper.html,enemi_in,series,,
375,346,Ballad_of_the_Wind_Fish_(Link's_Awakening).html,inhabit_of,enjoy,,
376,347,Ballad_of_the_Wind_Fish_(Majora's_Mask).html,mask_Unlike,songs,,
377,347,Ballad_of_the_Wind_Fish_(Majora's_Mask).html,store_on,Quest Status Subscreen,,
378,349,Balloon_Flight.html,quest_in,The Legend of Zelda:,,
379,349,Balloon_Flight.html,given_to,Link,Link.html,4550.0
380,351,Bamboo.html,charact_from,The Legend of Zelda:,,
381,352,Bamboo_Island.html,locat_from,The Legend of Zelda,,
382,352,Bamboo_Island.html,island_in,Sky,,
383,353,Bamboozle_Grass.html,item_from,Rosy Rupeeland,,
384,354,Bana_Bana.html,boss_of,the Deku Temple,,
385,354,Bana_Bana.html,dungeon_in,plant,,
386,356,Bananas.html,item_from,The Legend of Zelda,,
387,356,Bananas.html,quest_for,Lens,Link.html,4550.0
388,356,Bananas.html,locat_near,Kanalet Castle,Kanalet_Castle.html,4071.0
389,358,Banji.html,charact_in,The Legend of Zelda:,,
390,358,Banji.html,region_of,Hyrule,Hyrule.html,3766.0
391,359,Bank_of_Wishes.html,locat_in,The Legend of Zelda:,,
392,359,Bank_of_Wishes.html,locat_in,region,,
393,360,Banker.html,charact_from,The Legend of Zelda,,
394,362,Bannan_Island_(Breath_of_the_Wild).html,locat_from,The Legend of Zelda:,,
395,362,Bannan_Island_(Breath_of_the_Wild).html,locat_in,region,,
396,362,Bannan_Island_(Breath_of_the_Wild).html,region_of,Hyrule,Hyrule.html,3766.0
397,367,Barbarian_Armor.html,live_in,region,,
398,367,Barbarian_Armor.html,obtain_at,the Dila Maag Shrine,,
399,368,Barbarian_Helm.html,item_from,The Legend of Zelda:,,
400,368,Barbarian_Helm.html,obtain_at,Link,,
401,369,Barbarian_Leg_Wraps.html,item_from,The Legend of Zelda:,,
402,370,Bard.html,charact_from,The Legend of Zelda,,
403,371,Bareeda_Naag.html,charact_from,The Legend of Zelda:,,
404,372,Bareeda_Naag_Shrine.html,shrine_from,The Legend of Zelda:,,
405,372,Bareeda_Naag_Shrine.html,locat_in,region,,
406,372,Bareeda_Naag_Shrine.html,region_of,Hyrule,Hyrule.html,3766.0
407,373,Bargoh.html,charact_from,The Legend of Zelda:,,
408,374,Bari.html,enemi_in,the Legend of Zelda series,The_Legend_of_Zelda_series.html,7812.0
409,375,Barinade.html,boss_of,dungeon,Dungeon.html,2220.0
410,375,Barinade.html,dungeon_in,The Legend of Zelda,,
411,376,Baris.html,charact_from,The Legend of Zelda,,
412,377,Barkle.html,charact_from,Rosy Rupeeland,,
413,379,Baron.html,charact_from,Rosy Rupeeland,,
414,379,Baron.html,live_in,cavern,,
415,380,Barrel.html,object_in,Legend,,
416,381,Barrel_House.html,locat_from,The Legend of Zelda,,
417,382,Barrel_Shoot.html,object_of,game,,
418,384,Barta.html,charact_in,The Legend of Zelda:,,
419,385,Barula_Plain.html,locat_in,The Legend of Zelda:,,
420,385,Barula_Plain.html,locat_in,region,,
421,385,Barula_Plain.html,region_of,Faron,Faron_(Breath_of_the_Wild).html,2506.0
